word,count
في,457821
من,326098
علي,170465
الي,126272
ان,89051
التي,57932
عام,57796
،,54580
عن,51517
او,49501
مع,42125
بن,41285
كان,40745
بعد,36642
ما,35060
الذي,34509
بين,34201
هذه,33153
هذا,28604
حيث,27924
هو,26603
كانت,26419
ذلك,25933
كما,25587
لا,24372
سنه,22301
وقد,22284
هي,21923
وفي,21753
قبل,20954
مثل,19250
عبد,18773
القرن,18663
وهو,17947
و,17872
خلال,17590
لم,17386
حتي,17092
كل,17019
م,16428
بعض,16122
قد,16023
وهي,16012
تم,16004
الله,15896
مدينه,15872
غير,15613
انه,15083
اي,14971
ثم,14834
محمد,14820
وكان,14313
اكثر,13602
المدينه,13286
عدد,13099
والتي,12836
ومن,12354
المتحده,12260
فيها,12171
له,12069
يمكن,12059
الا,11580
العالم,11186
عند,11014
بشكل,10911
اول,10888
هـ,10672
العديد,10221
الدوله,10033
بها,10032
اخري,10011
الحرب,9937
منذ,9876
تلك,9601
عندما,9556
الاول,9520
العربيه,9517
منها,9487
عشر,9439
ابن,9277
ولكن,9205
فان,9188
اما,9091
الاولي,8976
هناك,8952
عليه,8925
الذين,8691
الملك,8670
فقد,8642
الثاني,8623
احد,8537
يكون,8520
منطقه,8513
مما,8402
مصر,8377
اكبر,8333
تحت,8280
الدين,8268
فيه,8202
حوالي,8003
لها,7900
بسبب,7894
جميع,7888
وذلك,7831
يتم,7766
انها,7757
ايضًا,7686
ابو,7634
تكون,7552
ولا,7551
يوم,7528
قال,7453
الولايات,7370
حول,7302
به,7282
العام,7282
رئيس,7012
كره,7006
باسم,6973
ذات,6931
طريق,6926
اليوم,6901
عليها,6864
والذي,6817
تاريخ,6758
وكانت,6605
المنطقه,6597
مجموعه,6553
ايضا,6524
لكن,6390
قدم,6339
الاخري,6276
اللغه,6186
البلاد,6175
قام,6129
احمد,6128
اذا,6110
الحكومه,5988
كبير,5931
عده,5866
مواليد,5840
بما,5819
اوروبا,5802
نحو,5788
اخر,5781
اسم,5760
ضد,5750
ابي,5729
علم,5700
كتاب,5688
عبر,5673
الجيش,5660
